"","name","Death","Region"
"1","Somalia",81.5,"Africa"
"2","Central African Republic",79.3,"Africa"
"3","Equatorial Guinea",76.9,"Africa"
"4","Sierra Leone",70.1,"Africa"
"5","Nigeria",65.6,"Africa"
"6","Niger",63,"Africa"
"7","Chad",61.1,"Africa"
"8","South Sudan",58.6,"Africa"
"9","Mozambique",56.7,"Africa"
"10","Mali",55.8,"Africa"
"11","Congo, Democratic Republic of the",55.8,"Africa"
"12","Liberia",55.2,"Africa"
"13","Comoros",53.9,"Africa"
"14","Cote d'Ivoire",52.3,"Africa"
"15","Lesotho",52.2,"Africa"
"16","Benin",51.6,"Africa"
"17","Pakistan",50.3,"South Asia"
"18","Burkina Faso",48,"Africa"
"19","Angola",46.1,"Africa"
"20","Guinea",45.8,"Africa"
"21","Guinea-Bissau",45.1,"Africa"
"22","Cameroon",44.6,"Africa"
"23","Djibouti",44.3,"Africa"
"24","Yemen",42.4,"Middle East"
"25","Afghanistan",42,"South Asia"
"26","Timor-Leste",41.9,"East and Southeast Asia"
"27","Sao Tome and Principe",41.7,"Africa"
"28","Sudan",39.7,"Africa"
"29","Eritrea",39,"Africa"
"30","Madagascar",38.4,"Africa"
"31","Eswatini",38,"Africa"
"32","Burundi",35.3,"Africa"
"33","Haiti",35,"Central America and the Caribbean"
"34","Gambia, The",35,"Africa"
"35","Turkmenistan",35,"Central Asia"
"36","Togo",34.5,"Africa"
"37","Laos",34.2,"East and Southeast Asia"
"38","Zimbabwe",32.8,"Africa"
"39","Papua New Guinea",31.3,"East and Southeast Asia"
"40","Ethiopia",31.3,"Africa"
"41","Kiribati",30.8,"Australia and Oceania"
"42","Burma",30.8,"East and Southeast Asia"
"43","Ghana",30.5,"Africa"
"44","India",30.5,"South Asia"
"45","Senegal",30.4,"Africa"
"46","Zambia",30.1,"Africa"
"47","Mauritania",29.9,"Africa"
"48","Congo, Republic of the",29.9,"Africa"
"49","Suriname",29.3,"South America"
"50","Malawi",28.9,"Africa"
"51","Tanzania",28.4,"Africa"
"52","Botswana",27.8,"Africa"
"53","Uganda",27.5,"Africa"
"54","Rwanda",27.4,"Africa"
"55","Cambodia",27.2,"East and Southeast Asia"
"56","Tuvalu",27.2,"Australia and Oceania"
"57","Namibia",27.1,"Africa"
"58","Kenya",26.8,"Africa"
"59","Gabon",26,"Africa"
"60","Kyrgyzstan",24,"Central Asia"
"61","Maldives",23.7,"South Asia"
"62","Guatemala",23.4,"Central America and the Caribbean"
"63","Nepal",23.4,"South Asia"
"64","Bhutan",23,"South Asia"
"65","Bolivia",22.1,"South America"
"66","Bangladesh",22,"South Asia"
"67","Cabo Verde",21.9,"Africa"
"68","Paraguay",21.4,"South America"
"69","Kosovo",21,"Europe"
"70","Georgia",20.9,"Central Asia"
"71","Dominican Republic",20.8,"Central America and the Caribbean"
"72","Guyana",20.6,"South America"
"73","Micronesia, Federated States of",20.4,"Australia and Oceania"
"74","Tajikistan",20.3,"Central Asia"
"75","Marshall Islands",20.1,"Australia and Oceania"
"76","South Africa",19.7,"Africa"
"77","Solomon Islands",18.6,"Australia and Oceania"
"78","Algeria",18.6,"Africa"
"79","Indonesia",18.5,"East and Southeast Asia"
"80","Philippines",18.5,"East and Southeast Asia"
"81","Iraq",18.3,"Middle East"
"82","Turkey (Turkiye)",17.9,"Middle East"
"83","Morocco",17.8,"Africa"
"84","Uzbekistan",17.6,"Central Asia"
"85","Saint Helena, Ascension, and Tristan da Cunha",17.5,"Africa"
"86","Samoa",17.2,"Australia and Oceania"
"87","Egypt",16.4,"Africa"
"88","Honduras",15.4,"Central America and the Caribbean"
"89","Barbados",15.1,"Central America and the Caribbean"
"90","Cook Islands",14.8,"Australia and Oceania"
"91","Korea, North",14.7,"East and Southeast Asia"
"92","Syria",14.7,"Middle East"
"93","Trinidad and Tobago",14.7,"Central America and the Caribbean"
"94","Jamaica",14.5,"Central America and the Caribbean"
"95","Gaza Strip",14.2,"Middle East"
"96","West Bank",14.2,"Middle East"
"97","Nicaragua",14.1,"Central America and the Caribbean"
"98","Vietnam",13.8,"East and Southeast Asia"
"99","Oman",13.6,"Middle East"
"100","Venezuela",13.6,"South America"
"101","Moldova",13.5,"Europe"
"102","Vanuatu",13.4,"Australia and Oceania"
"103","Antigua and Barbuda",13.3,"Central America and the Caribbean"
"104","Panama",13.2,"Central America and the Caribbean"
"105","British Virgin Islands",13,"Central America and the Caribbean"
"106","Jordan",12.9,"Middle East"
"107","Brazil",12.7,"South America"
"108","Mexico",12.3,"North America"
"109","Saint Vincent and the Grenadines",12,"Central America and the Caribbean"
"110","Northern Mariana Islands",11.6,"Australia and Oceania"
"111","Colombia",11.6,"South America"
"112","Tonga",11.5,"Australia and Oceania"
"113","Saudi Arabia",11.4,"Middle East"
"114","Mauritius",11.4,"Africa"
"115","Saint Lucia",11.3,"Central America and the Caribbean"
"116","Armenia",11.3,"Central Asia"
"117","Belize",11.3,"Central America and the Caribbean"
"118","Aruba",11.2,"Central America and the Caribbean"
"119","Ecuador",11.2,"South America"
"120","Turks and Caicos Islands",10.8,"Central America and the Caribbean"
"121","Albania",10.8,"Europe"
"122","Azerbaijan",10.7,"Central Asia"
"123","Guam",10.7,"Australia and Oceania"
"124","Tunisia",10.6,"Africa"
"125","Peru",10.6,"South America"
"126","Palau",10.6,"Australia and Oceania"
"127","Dominica",10.5,"Central America and the Caribbean"
"128","Libya",10.4,"Africa"
"129","Seychelles",10,"Africa"
"130","El Salvador",10,"Central America and the Caribbean"
"131","Brunei",9.8,"East and Southeast Asia"
"132","Iran",9.7,"Middle East"
"133","Bahrain",9.6,"Middle East"
"134","American Samoa",9.5,"Australia and Oceania"
"135","Fiji",9.4,"Australia and Oceania"
"136","Montserrat",9.4,"Central America and the Caribbean"
"137","Bahamas, The",9.2,"Central America and the Caribbean"
"138","Grenada",8.8,"Central America and the Caribbean"
"139","Mongolia",8.6,"East and Southeast Asia"
"140","Ukraine",8.4,"Europe"
"141","Greenland",8.3,"North America"
"142","Cyprus",7.9,"Europe"
"143","Kazakhstan",7.9,"Central Asia"
"144","Saint Kitts and Nevis",7.9,"Central America and the Caribbean"
"145","Saint Pierre and Miquelon",7.6,"North America"
"146","Sint Maarten",7.5,"Central America and the Caribbean"
"147","Bulgaria",7.5,"Europe"
"148","Nauru",7.5,"Australia and Oceania"
"149","Curacao",7.4,"Central America and the Caribbean"
"150","Argentina",7.4,"South America"
"151","Lebanon",7.3,"Middle East"
"152","Virgin Islands",7.2,"Central America and the Caribbean"
"153","Cayman Islands",7.1,"Central America and the Caribbean"
"154","Kuwait",7,"Middle East"
"155","Uruguay",6.9,"South America"
"156","North Macedonia",6.8,"Europe"
"157","Sri Lanka",6.8,"South Asia"
"158","Russia",6.4,"Central Asia"
"159","Costa Rica",6.3,"Central America and the Caribbean"
"160","Saint Martin",6.3,"Central America and the Caribbean"
"161","Malaysia",6.3,"East and Southeast Asia"
"162","Saint Barthelemy",6.3,"Central America and the Caribbean"
"163","Thailand",6.2,"East and Southeast Asia"
"164","Qatar",6.2,"Middle East"
"165","San Marino",6.1,"Europe"
"166","China",6,"East and Southeast Asia"
"167","Gibraltar",5.9,"Europe"
"168","Puerto Rico",5.7,"Central America and the Caribbean"
"169","Faroe Islands",5.6,"Europe"
"170","Romania",5.3,"Europe"
"171","Cuba",5.2,"Central America and the Caribbean"
"172","United States",5,"North America"
