"","name","Death","Region"
"1","Nigeria",993,"Africa"
"2","Chad",748,"Africa"
"3","South Sudan",692,"Africa"
"4","Central African Republic",692,"Africa"
"5","Liberia",628,"Africa"
"6","Somalia",563,"Africa"
"7","Afghanistan",521,"South Asia"
"8","Benin",518,"Africa"
"9","Guinea-Bissau",505,"Africa"
"10","Guinea",494,"Africa"
"11","Lesotho",478,"Africa"
"12","Madagascar",445,"Africa"
"13","Congo, Democratic Republic of the",427,"Africa"
"14","Burundi",392,"Africa"
"15","Mauritania",381,"Africa"
"16","Kenya",379,"Africa"
"17","Mali",367,"Africa"
"18","Cote d'Ivoire",359,"Africa"
"19","Zimbabwe",358,"Africa"
"20","Gambia, The",354,"Africa"
"21","Sierra Leone",354,"Africa"
"22","Niger",350,"Africa"
"23","Togo",349,"Africa"
"24","Haiti",328,"Central America and the Caribbean"
"25","Eritrea",291,"Africa"
"26","Tanzania",276,"Africa"
"27","Nauru",273,"Australia and Oceania"
"28","Cameroon",258,"Africa"
"29","Sudan",256,"Africa"
"30","Burkina Faso",242,"Africa"
"31","Congo, Republic of the",241,"Africa"
"32","Senegal",237,"Africa"
"33","Ghana",234,"Africa"
"34","Gabon",233,"Africa"
"35","Rwanda",229,"Africa"
"36","Venezuela",227,"South America"
"37","Malawi",225,"Africa"
"38","Ethiopia",195,"Africa"
"39","Timor-Leste",192,"East and Southeast Asia"
"40","Papua New Guinea",189,"East and Southeast Asia"
"41","Burma",185,"East and Southeast Asia"
"42","Angola",183,"Africa"
"43","Comoros",179,"Africa"
"44","Equatorial Guinea",174,"Africa"
"45","Uganda",170,"Africa"
"46","Tuvalu",170,"Australia and Oceania"
"47","Djibouti",162,"Africa"
"48","Pakistan",155,"South Asia"
"49","Marshall Islands",155,"Australia and Oceania"
"50","Botswana",155,"Africa"
"51","Bolivia",146,"South America"
"52","Nepal",142,"South Asia"
"53","Indonesia",140,"East and Southeast Asia"
"54","Namibia",139,"Africa"
"55","Cambodia",137,"East and Southeast Asia"
"56","Jamaica",130,"Central America and the Caribbean"
"57","Micronesia, Federated States of",129,"Australia and Oceania"
"58","Dominican Republic",124,"Central America and the Caribbean"
"59","Solomon Islands",123,"Australia and Oceania"
"60","South Africa",118,"Africa"
"61","Eswatini",118,"Africa"
"62","Yemen",118,"Middle East"
"63","Bangladesh",115,"South Asia"
"64","Laos",112,"East and Southeast Asia"
"65","Samoa",101,"Australia and Oceania"
"66","Vanuatu",100,"Australia and Oceania"
"67","Guatemala",94,"Central America and the Caribbean"
"68","Palau",89,"Australia and Oceania"
"69","Zambia",85,"Africa"
"70","Philippines",84,"East and Southeast Asia"
"71","Suriname",84,"South America"
"72","Mozambique",82,"Africa"
"73","Kiribati",80,"Australia and Oceania"
"74","India",80,"South Asia"
"75","Bahamas, The",76,"Central America and the Caribbean"
"76","Guyana",75,"South America"
"77","Sao Tome and Principe",75,"Africa"
"78","Saint Kitts and Nevis",74,"Central America and the Caribbean"
"79","Morocco",70,"Africa"
"80","Belize",67,"Central America and the Caribbean"
"81","Korea, North",67,"East and Southeast Asia"
"82","Tonga",67,"Australia and Oceania"
"83","Brazil",67,"South America"
"84","Iraq",66,"Middle East"
"85","Mauritius",66,"Africa"
"86","Algeria",62,"Africa"
"87","Nicaragua",60,"Central America and the Caribbean"
"88","Colombia",59,"South America"
"89","Libya",59,"Africa"
"90","Paraguay",58,"South America"
"91","Saint Vincent and the Grenadines",56,"Central America and the Caribbean"
"92","Ecuador",55,"South America"
"93","Trinidad and Tobago",54,"Central America and the Caribbean"
"94","Peru",51,"South America"
"95","Grenada",48,"Central America and the Caribbean"
"96","Vietnam",48,"East and Southeast Asia"
"97","Bhutan",47,"South Asia"
"98","Honduras",47,"Central America and the Caribbean"
"99","Saint Lucia",44,"Central America and the Caribbean"
"100","Kyrgyzstan",42,"Central Asia"
"101","Mexico",42,"North America"
"102","Seychelles",42,"Africa"
"103","Mongolia",41,"East and Southeast Asia"
"104","Cabo Verde",40,"Africa"
"105","El Salvador",39,"Central America and the Caribbean"
"106","Panama",37,"Central America and the Caribbean"
"107","Dominica",36,"Central America and the Caribbean"
"108","Tunisia",36,"Africa"
"109","Brunei",36,"East and Southeast Asia"
"110","Antigua and Barbuda",35,"Central America and the Caribbean"
"111","Cuba",35,"Central America and the Caribbean"
